序號,識別內容,X,Y,Width,Height,Confidence
1,,45,34,91,69,0.363
2,AV C101,52,182,105,106,0.826
3,AV C102,166,182,107,103,0.883
4,AV C105,280,184,107,102,0.856
5,C AV C106,394,182,105,101,0.872
6,AV C107,510,183,108,101,0.834
7,AV C109,624,183,106,103,0.885
8,AV C110,737,183,109,101,0.867
9,AV C111,852,183,106,103,0.882
10,AV C112,966,182,107,102,0.882
11,AV C113,1080,183,105,104,0.855
12,AV C114,52,297,105,112,0.817
13,AV C201,166,296,109,111,0.898
14,AV C202,281,297,106,110,0.856
15,AV C203,394,296,107,111,0.905
16,AV C204,510,297,110,112,0.845
17,AV C205,624,297,108,112,0.906
18,O AV C206,737,297,111,112,0.879
19,AV C207,852,296,106,111,0.893
20,O AV C208,966,296,110,111,0.903
21,AV C302,1081,297,106,111,0.852
22,AV C303,52,409,105,107,0.768
23,AV C304,166,410,110,104,0.829
24,AV C305,280,409,107,105,0.821
25,AV C306,394,410,109,104,0.835
26,AV C401,510,410,109,105,0.779
27,AV C402,624,410,107,105,0.844
28,AV C405,738,410,112,105,0.814
29,AV C406,853,410,106,106,0.845
30,AV C407,967,410,110,105,0.848
31,C AV C408,1081,410,106,104,0.81
32,AV C409,52,524,105,111,0.839
33,C AV N601,166,525,108,110,0.903
34,AV N603,281,525,108,110,0.862
35,AV N604,395,525,108,110,0.91
36,AV N605,510,525,110,109,0.856
37,AV N606,624,525,108,110,0.907
38,AV N607,737,525,111,110,0.888
39,C AV W201,852,525,106,110,0.896
40,C AV W202,965,525,109,110,0.911
41,AV W203,1080,525,107,110,0.862
42,AV W204,52,640,105,109,0.755
43,AV W205,166,640,108,106,0.834
44,AV W206,280,640,107,106,0.783
45,AV W401,395,641,108,106,0.843
46,AV W402,510,640,110,107,0.775
47,AV W403,624,641,107,108,0.843
48,AV W404,738,640,110,106,0.817
49,BV A101,852,641,106,109,0.821
50,BV A601,966,640,110,106,0.831
51,BV A602,1080,640,107,107,0.764
52,BV A603,52,753,104,108,0.84
53,BV CO2,166,752,109,107,0.893
54,BV N101,280,753,106,109,0.865
