序號,識別內容,X,Y,Width,Height,Confidence
1,,45,34,91,68,0.36
2,AV C101,52,182,105,105,0.829
3,AV C102,166,182,107,103,0.882
4,AV C105,281,184,106,102,0.852
5,AV C106,395,182,106,101,0.877
6,AV C107,509,183,109,102,0.833
7,AV C109,624,183,105,103,0.884
8,AV C110,737,183,109,101,0.866
9,AV C111,852,183,106,103,0.88
10,AV C112,966,182,107,101,0.88
11,AV C113,1080,183,105,104,0.851
12,AV C114,52,297,105,112,0.82
13,AV C201,166,296,109,111,0.899
14,AV C202,281,297,107,110,0.858
15,AV C203,394,296,107,111,0.906
16,AV C204,510,297,110,112,0.844
17,AV C205,624,297,108,112,0.905
18,O AV C206,737,297,111,112,0.878
19,AV C207,852,296,106,111,0.893
20,O AV C208,966,296,110,111,0.903
21,AV C302,1081,297,106,111,0.852
22,AV C303,52,409,105,107,0.77
23,AV C304,166,410,110,104,0.831
24,AV C305,281,409,108,105,0.822
25,AV C306,394,410,109,104,0.836
26,AV C401,510,410,109,105,0.779
27,AV C402,624,410,107,105,0.843
28,AV C405,738,410,112,105,0.814
29,AV C406,853,410,106,106,0.845
30,AV C407,967,410,110,105,0.848
31,C AV C408,1081,410,106,104,0.81
32,AV C409,52,524,105,111,0.84
33,C AV N601,166,525,108,110,0.904
34,AV N603,281,525,108,110,0.862
35,AV N604,395,525,108,110,0.91
36,AV N605,510,525,110,109,0.856
37,AV N606,624,525,107,110,0.907
38,AV N607,737,525,111,110,0.888
39,C AV W201,852,525,106,110,0.896
40,C AV W202,965,525,109,110,0.911
41,AV W203,1080,525,107,110,0.862
42,AV W204,52,640,105,109,0.755
43,AV W205,166,640,108,106,0.834
44,AV W206,280,640,107,106,0.783
45,AV W401,395,641,108,106,0.843
46,AV W402,510,640,110,107,0.775
47,AV W403,624,641,107,108,0.843
48,AV W404,738,640,110,106,0.817
49,BV A101,852,641,106,109,0.821
50,BV A601,966,640,110,106,0.831
51,BV A602,1080,640,107,107,0.764
52,BV A603,52,753,104,108,0.84
53,BV CO2,166,752,109,107,0.893
54,BV N101,280,753,106,109,0.865
55,C BV N102,394,752,107,107,0.898
56,BV N103,510,753,110,107,0.837
57,BV N2,624,753,108,108,0.899
58,BV N601,737,753,111,107,0.88
59,C BV N602,852,753,106,108,0.89
60,BV N603,966,752,109,107,0.903
61,CV N601,1080,754,106,108,0.857
62,CV N602,52,869,105,111,0.797
63,CV N603,165,868,109,109,0.876
64,CV W401,280,870,107,110,0.836
65,CV W402,394,869,108,110,0.888
66,CV W403,510,869,110,110,0.825
67,CV W404,624,869,106,110,0.887
68,O CV W405,737,869,111,110,0.856
69,MV C101,852,869,106,110,0.866
70,MV C102,966,868,109,109,0.883
71,MV C106,1080,870,107,110,0.826
72,MV C107,52,981,105,108,0.828
73,MV C201,167,981,109,106,0.87
74,MV C202,281,982,107,108,0.845
75,C MV C205,395,981,107,106,0.878
76,C MV C206,511,981,110,106,0.818
77,MV C301,625,981,106,107,0.881
78,MV C302,740,981,109,106,0.876
79,C MV C303,854,981,106,107,0.874
80,MV C304,968,980,108,105,0.882
81,MV N401,1080,981,105,107,0.843
82,MV N601,52,1097,105,112,0.818
83,MV W401,166,1096,109,111,0.892
84,NV N601,282,1097,109,111,0.835
85,NV W401,397,1097,108,110,0.917
86,O NV W402,511,1097,110,112,0.872
87,RV A101,626,1097,106,111,0.913
88,O RV A601,739,1097,111,112,0.896
89,RV A602,854,1097,108,111,0.895
90,RV A603,967,1096,109,111,0.908
91,RV N101,1081,1097,106,111,0.866
92,RV N601,52,1209,105,107,0.78
93,RV N602,165,1209,109,106,0.83
94,RV N603,281,1210,109,106,0.817
